timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1617384973542,102,HTTP Request,308,Permanent Redirect,Thread Group 1-1,text,true,,398,132,1,1,http://reference-test.intellisense.io/#!/id/dashboards/554,102,0,75
1617384973644,13,HTTP Request,308,Permanent Redirect,Thread Group 1-1,text,true,,398,132,1,1,http://reference-test.intellisense.io/#!/id/dashboards/554,13,0,0
1617384973657,14,HTTP Request,308,Permanent Redirect,Thread Group 1-1,text,true,,398,132,1,1,http://reference-test.intellisense.io/#!/id/dashboards/554,14,0,0
1617384973671,13,HTTP Request,308,Permanent Redirect,Thread Group 1-1,text,true,,398,132,1,1,http://reference-test.intellisense.io/#!/id/dashboards/554,13,0,0
1617384973685,14,HTTP Request,308,Permanent Redirect,Thread Group 1-1,text,true,,398,132,1,1,http://reference-test.intellisense.io/#!/id/dashboards/554,14,0,0
1617384973699,11,HTTP Request,308,Permanent Redirect,Thread Group 1-1,text,true,,398,132,1,1,http://reference-test.intellisense.io/#!/id/dashboards/554,11,0,0
1617384973710,12,HTTP Request,308,Permanent Redirect,Thread Group 1-1,text,true,,398,132,1,1,http://reference-test.intellisense.io/#!/id/dashboards/554,12,0,0
1617384973722,13,HTTP Request,308,Permanent Redirect,Thread Group 1-1,text,true,,398,132,1,1,http://reference-test.intellisense.io/#!/id/dashboards/554,13,0,0
1617384973736,14,HTTP Request,308,Permanent Redirect,Thread Group 1-1,text,true,,398,132,1,1,http://reference-test.intellisense.io/#!/id/dashboards/554,14,0,0
1617384973750,10,HTTP Request,308,Permanent Redirect,Thread Group 1-1,text,true,,398,132,1,1,http://reference-test.intellisense.io/#!/id/dashboards/554,10,0,0
1617384973760,9,HTTP Request,308,Permanent Redirect,Thread Group 1-1,text,true,,398,132,1,1,http://reference-test.intellisense.io/#!/id/dashboards/554,9,0,0
